stage,average_count,average_ground,error_mean,error_std,accuracy
0,178.785148713,174.8,15.0364975251,11.0105600246,0.913978847111
0,0,0,0,0,0
1,168.8828136,174.8,10.3309417478,10.1346428253,0.940898502587
1,177.543253243,174.8,8.9580863,7.61161179233,0.948752366705
2,170.693759284,174.8,7.82040377385,7.98855195094,0.955260847976
2,168.247008945,174.8,9.19241620162,8.79803229445,0.947411806627
3,169.36760379,174.8,6.94118420752,6.46759545547,0.960290708195
3,168.671173319,174.8,8.56302150047,7.71584254634,0.951012462812
4,172.859622161,174.8,4.7749188297,5.10349948306,0.972683530723
4,173.336151965,174.8,4.54088575747,4.99050350257,0.974022392692
