stage,average_count,average_ground,error_mean,error_std,accuracy
0,302.703317392,174.8,127.903317392,39.8500739973,0.268287657941
0,0,0,0,0,0
1,301.569466005,174.8,126.769466005,39.0958494101,0.274774221941
1,1586.83849388,174.8,1412.03849388,274.885111108,-7.07802342038
